"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSCAR","TOT","IDX2015","M","2021-01",43.2591340028661,
"AUS","PASSCAR","TOT","IDX2015","M","2021-02",44.6646486310388,
"AUS","PASSCAR","TOT","IDX2015","M","2021-03",49.7049544002808,
"AUS","PASSCAR","TOT","IDX2015","M","2021-04",42.0351262306494,
"AUS","PASSCAR","TOT","IDX2015","M","2021-05",47.0475078682058,
"AUS","PASSCAR","TOT","IDX2015","M","2021-06",54.3613033588464,
"AUS","PASSCAR","TOT","IDX2015","M","2021-07",40.9996063473103,
"AUS","PASSCAR","TOT","IDX2015","M","2021-08",40.3480432746474,
"AUS","PASSCAR","TOT","IDX2015","M","2021-09",43.1218403554121,
"AUS","PASSCAR","TOT","IDX2015","M","2021-10",37.1204790539925,
"AUS","PASSCAR","TOT","IDX2015","M","2021-11",39.1682487109329,
"AUS","PASSCAR","TOT","IDX2015","M","2021-12",33.7323510761456,
"AUT","PASSCAR","TOT","IDX2015","M","2015-01",91.109850755943,
"AUT","PASSCAR","TOT","IDX2015","M","2015-02",80.2748294469381,
"AUT","PASSCAR","TOT","IDX2015","M","2015-03",120.896436615838,
"AUT","PASSCAR","TOT","IDX2015","M","2015-04",114.728330443519,
"AUT","PASSCAR","TOT","IDX2015","M","2015-05",103.127157232908,
"AUT","PASSCAR","TOT","IDX2015","M","2015-06",118.469640744762,
"AUT","PASSCAR","TOT","IDX2015","M","2015-07",104.682795611803,
"AUT","PASSCAR","TOT","IDX2015","M","2015-08",88.1930287955146,
"AUT","PASSCAR","TOT","IDX2015","M","2015-09",100.98426536598,
"AUT","PASSCAR","TOT","IDX2015","M","2015-10",97.8068739770867,
"AUT","PASSCAR","TOT","IDX2015","M","2015-11",90.9309523423701,
"AUT","PASSCAR","TOT","IDX2015","M","2015-12",88.7958386673364,
"AUT","PASSCAR","TOT","IDX2015","M","2016-01",93.4121955567079,
"AUT","PASSCAR","TOT","IDX2015","M","2016-02",87.4852133331173,
"AUT","PASSCAR","TOT","IDX2015","M","2016-03",124.221613650727,
"AUT","PASSCAR","TOT","IDX2015","M","2016-04",120.958662150994,
"AUT","PASSCAR","TOT","IDX2015","M","2016-05",110.691448850286,
"AUT","PASSCAR","TOT","IDX2015","M","2016-06",131.260877315227,
"AUT","PASSCAR","TOT","IDX2015","M","2016-07",104.54667725365,
"AUT","PASSCAR","TOT","IDX2015","M","2016-08",92.1326829900666,
"AUT","PASSCAR","TOT","IDX2015","M","2016-09",116.035066681791,
"AUT","PASSCAR","TOT","IDX2015","M","2016-10",102.178217821782,
"AUT","PASSCAR","TOT","IDX2015","M","2016-11",99.1369447910421,
"AUT","PASSCAR","TOT","IDX2015","M","2016-12",99.8019801980198,
"AUT","PASSCAR","TOT","IDX2015","M","2017-01",102.485456401614,
"AUT","PASSCAR","TOT","IDX2015","M","2017-02",98.4369075205393,
"AUT","PASSCAR","TOT","IDX2015","M","2017-03",143.235403736773,
